country,date,Population
India,2023-01-01,1428627663.0
India,2022-01-01,1417173173.0
India,2021-01-01,1407563842.0
India,2020-01-01,1396387127.0
India,2019-01-01,1383112050.0
India,2018-01-01,1369003306.0
India,2017-01-01,1354195680.0
India,2016-01-01,1338636340.0
India,2015-01-01,1322866505.0
India,2014-01-01,1307246509.0
India,2013-01-01,1291132063.0
India,2012-01-01,1274487215.0
India,2011-01-01,1257621191.0
India,2010-01-01,1240613620.0
India,2009-01-01,1223640160.0
India,2008-01-01,1206734806.0
India,2007-01-01,1189691809.0
India,2006-01-01,1172373788.0
India,2005-01-01,1154638713.0
India,2004-01-01,1136264583.0
India,2003-01-01,1117415123.0
India,2002-01-01,1098313039.0
India,2001-01-01,1078970907.0
India,2000-01-01,1059633675.0
India,1999-01-01,1040500054.0
India,1998-01-01,1021434576.0
India,1997-01-01,1002335230.0
India,1996-01-01,983281218.0
India,1995-01-01,964279129.0
India,1994-01-01,945261958.0
India,1993-01-01,926351297.0
India,1992-01-01,907574049.0
India,1991-01-01,888941756.0
India,1990-01-01,870452165.0
India,1989-01-01,852012673.0
India,1988-01-01,833729681.0
India,1987-01-01,815716125.0
India,1986-01-01,797878993.0
India,1985-01-01,780242084.0
India,1984-01-01,762895156.0
India,1983-01-01,745826546.0
India,1982-01-01,729169466.0
India,1981-01-01,712869298.0
India,1980-01-01,696828385.0
India,1979-01-01,681248383.0
India,1978-01-01,666267760.0
India,1977-01-01,651685628.0
India,1976-01-01,637451448.0
India,1975-01-01,623524219.0
India,1974-01-01,609721951.0
India,1973-01-01,596107483.0
India,1972-01-01,582837973.0
India,1971-01-01,569999178.0
India,1970-01-01,557501301.0
India,1969-01-01,545314670.0
India,1968-01-01,533431909.0
India,1967-01-01,521987069.0
India,1966-01-01,510992617.0
India,1965-01-01,500114346.0
India,1964-01-01,489059309.0
India,1963-01-01,477933619.0
India,1962-01-01,467024193.0
India,1961-01-01,456351876.0
India,1960-01-01,445954579.0
Pakistan,2023-01-01,240485658.0
Pakistan,2022-01-01,235824862.0
Pakistan,2021-01-01,231402117.0
Pakistan,2020-01-01,227196741.0
Pakistan,2019-01-01,223293280.0
Pakistan,2018-01-01,219731479.0
Pakistan,2017-01-01,216379655.0
Pakistan,2016-01-01,213524840.0
Pakistan,2015-01-01,210969298.0
Pakistan,2014-01-01,208251628.0
Pakistan,2013-01-01,205337562.0
Pakistan,2012-01-01,202205861.0
Pakistan,2011-01-01,198602738.0
Pakistan,2010-01-01,194454498.0
Pakistan,2009-01-01,190123222.0
Pakistan,2008-01-01,185931955.0
Pakistan,2007-01-01,181924521.0
Pakistan,2006-01-01,178069984.0
Pakistan,2005-01-01,174372098.0
Pakistan,2004-01-01,170648620.0
Pakistan,2003-01-01,166876680.0
Pakistan,2002-01-01,163262807.0
Pakistan,2001-01-01,159217727.0
Pakistan,2000-01-01,154369924.0
Pakistan,1999-01-01,149694462.0
Pakistan,1998-01-01,145476106.0
Pakistan,1997-01-01,141330267.0
Pakistan,1996-01-01,137234810.0
Pakistan,1995-01-01,133117476.0
Pakistan,1994-01-01,129245139.0
Pakistan,1993-01-01,125546615.0
Pakistan,1992-01-01,122375179.0
Pakistan,1991-01-01,119203569.0
Pakistan,1990-01-01,115414069.0
Pakistan,1989-01-01,111670386.0
Pakistan,1988-01-01,107967838.0
Pakistan,1987-01-01,104251093.0
Pakistan,1986-01-01,100618523.0
Pakistan,1985-01-01,97121552.0
Pakistan,1984-01-01,94003867.0
Pakistan,1983-01-01,91080372.0
Pakistan,1982-01-01,87828198.0
Pakistan,1981-01-01,84270202.0
Pakistan,1980-01-01,80624057.0
Pakistan,1979-01-01,77407341.0
Pakistan,1978-01-01,74789330.0
Pakistan,1977-01-01,72451105.0
Pakistan,1976-01-01,70230923.0
Pakistan,1975-01-01,68126999.0
Pakistan,1974-01-01,66149169.0
Pakistan,1973-01-01,64285624.0
Pakistan,1972-01-01,62509565.0
Pakistan,1971-01-01,60878781.0
Pakistan,1970-01-01,59290872.0
Pakistan,1969-01-01,57676805.0
Pakistan,1968-01-01,56124743.0
Pakistan,1967-01-01,54629793.0
Pakistan,1966-01-01,53199414.0
Pakistan,1965-01-01,51841626.0
Pakistan,1964-01-01,50552592.0
Pakistan,1963-01-01,49325050.0
Pakistan,1962-01-01,48161841.0
Pakistan,1961-01-01,47060915.0
Pakistan,1960-01-01,45954226.0
